image_path,dataset_source,split,class,annotation_path,image_hash,perceptual_hash
data/datasets/yolo_injury/images/train/synthetic_wound_syn_wound_0144.jpg,synthetic_wound,train,abrasion,data/datasets/yolo_injury/labels/train/synthetic_wound_syn_wound_0144.txt,530640deb670ab50beea4e53c24b904339f143b8cd99703c6771a1b90a43cf82,e666999973646493
data/datasets/yolo_injury/images/train/synthetic_wound_syn_wound_0129.jpg,synthetic_wound,train,abrasion,data/datasets/yolo_injury/labels/train/synthetic_wound_syn_wound_0129.txt,970f36cee6506417b8bc540df8e11b9bdc9e92a42338812d605a40f77c58e6ae,e6c9993266cd9932
data/datasets/yolo_injury/images/train/synthetic_wound_syn_wound_0062.jpg,synthetic_wound,train,cut,data/datasets/yolo_injury/labels/train/synthetic_wound_syn_wound_0062.txt,46aec19889eb439e52cb2b0534c9d8f6b65a79dbe63a1943db6f05e4c3dab57f,b1c6ce3131cece31
data/datasets/yolo_injury/images/train/synthetic_wound_syn_wound_0045.jpg,synthetic_wound,train,cut,data/datasets/yolo_injury/labels/train/synthetic_wound_syn_wound_0045.txt,1d388d5ada4475e457f18e40f98337d13dcba26af203d549ed35b32c113339e6,e4999b64649b9b64
data/datasets/yolo_injury/images/train/synthetic_wound_syn_wound_0105.jpg,synthetic_wound,train,laceration,data/datasets/yolo_injury/labels/train/synthetic_wound_syn_wound_0105.txt,085231eb3cf881922fb3dd8f9ae396823fc596303dc2a7c8d834c686123f9b4b,b918c6c73138cec7
data/datasets/yolo_injury/images/train/synthetic_wound_syn_wound_0163.jpg,synthetic_wound,train,bruise,data/datasets/yolo_injury/labels/train/synthetic_wound_syn_wound_0163.txt,a16317e9883a84a512ebe2e0b1954f4fc8a4f1883a57ecd1c1658099bbd470d9,e4649b9b64649b9a
data/datasets/yolo_injury/images/train/synthetic_wound_syn_wound_0203.jpg,synthetic_wound,train,laceration,data/datasets/yolo_injury/labels/train/synthetic_wound_syn_wound_0203.txt,1c8bd400a2ea8c8f96ca6166bb54bee1f8b9cb1766877485a30273fc33221b2a,e69399646693996c
data/datasets/yolo_injury/images/train/synthetic_wound_syn_wound_0025.jpg,synthetic_wound,train,laceration,data/datasets/yolo_injury/labels/train/synthetic_wound_syn_wound_0025.txt,a674206f8ba578a3e1362b2b98fdad6b5caea676b1ecb135a246e8140c3740d0,b131cecec7333138
data/datasets/yolo_injury/images/train/synthetic_wound_syn_wound_0167.jpg,synthetic_wound,train,bruise,data/datasets/yolo_injury/labels/train/synthetic_wound_syn_wound_0167.txt,4bdffbee64e54a8c8ed97f8638a73e6f9ac12179bf8e4f74d56ae99954d89d8d,b9c6c63939c6c638
data/datasets/yolo_injury/images/train/synthetic_wound_syn_wound_0037.jpg,synthetic_wound,train,bruise,data/datasets/yolo_injury/labels/train/synthetic_wound_syn_wound_0037.txt,36f1a951af1863e2933f5ca242e72f71e41c866c57b5af3699736ca5f823632e,b838c7c7003839c6
data/datasets/yolo_injury/images/train/synthetic_wound_syn_wound_0180.jpg,synthetic_wound,train,laceration,data/datasets/yolo_injury/labels/train/synthetic_wound_syn_wound_0180.txt,f2e4010391aff445e8b75397a2a572fbae5aa4b3cad0263c4a58dce071db6e78,9e1ec1e1381e1fc3
