sample_id,split,kind,class,empty_mask,mask_area,subject_id,image_path,mask_path,source_dataset,source_path,source_mask,provenance,license,pixel_sha256
azh_0020126b06a719c36fed196c2c71f2f0_0,test,positive,wound_unspecified,False,0.010443,azh:0020126b06a719c36fed196c2c71f2f0,data/datasets/unet_deduped_subject/images/azh_0020126b06a719c36fed196c2c71f2f0_0.png,data/datasets/unet_deduped_subject/masks/azh_0020126b06a719c36fed196c2c71f2f0_0.png,azh_patches,data/datasets/external/azh_patches/train/images/0020126b06a719c36fed196c2c71f2f0_0.png,data/datasets/external/azh_patches/train/labels/0020126b06a719c36fed196c2c71f2f0_0.png,PUBLIC_REAL_PHOTOS,AZH/UWM redistribution,a18fc0d7550318b02304aaa920ca1f1a053f9080ed66d56dc3896789daf199e7
azh_002985bcbd572241a950bf39b4188d70_0,train,positive,wound_unspecified,False,0.043846,azh:002985bcbd572241a950bf39b4188d70,data/datasets/unet_deduped_subject/images/azh_002985bcbd572241a950bf39b4188d70_0.png,data/datasets/unet_deduped_subject/masks/azh_002985bcbd572241a950bf39b4188d70_0.png,azh_patches,data/datasets/external/azh_patches/train/images/002985bcbd572241a950bf39b4188d70_0.png,data/datasets/external/azh_patches/train/labels/002985bcbd572241a950bf39b4188d70_0.png,PUBLIC_REAL_PHOTOS,AZH/UWM redistribution,457b52435f12f3cda94afd6216ea8f352f07447ab125c304058208670d6322e0
azh_00437234527092743faeb39bc59bd7ee_0,test,positive,wound_unspecified,False,0.071249,azh:00437234527092743faeb39bc59bd7ee,data/datasets/unet_deduped_subject/images/azh_00437234527092743faeb39bc59bd7ee_0.png,data/datasets/unet_deduped_subject/masks/azh_00437234527092743faeb39bc59bd7ee_0.png,azh_patches,data/datasets/external/azh_patches/train/images/00437234527092743faeb39bc59bd7ee_0.png,data/datasets/external/azh_patches/train/labels/00437234527092743faeb39bc59bd7ee_0.png,PUBLIC_REAL_PHOTOS,AZH/UWM redistribution,10ce7585f5cd4b597b65fdca960e8d35d775f78dea20b6b5b8dec00eae742149
azh_00bf40d77104c2b4d6d55e431ca009b9_0,train,positive,wound_unspecified,False,0.02563,azh:00bf40d77104c2b4d6d55e431ca009b9,data/datasets/unet_deduped_subject/images/azh_00bf40d77104c2b4d6d55e431ca009b9_0.png,data/datasets/unet_deduped_subject/masks/azh_00bf40d77104c2b4d6d55e431ca009b9_0.png,azh_patches,data/datasets/external/azh_patches/train/images/00bf40d77104c2b4d6d55e431ca009b9_0.png,data/datasets/external/azh_patches/train/labels/00bf40d77104c2b4d6d55e431ca009b9_0.png,PUBLIC_REAL_PHOTOS,AZH/UWM redistribution,0bc6ebb740d222752f3f531a249cb3a225a06b9ad9305f16b662e846c52c7973
azh_01289b5d0d3f47b0de56c003ec81614a_0,train,positive,wound_unspecified,False,0.043985,azh:01289b5d0d3f47b0de56c003ec81614a,data/datasets/unet_deduped_subject/images/azh_01289b5d0d3f47b0de56c003ec81614a_0.png,data/datasets/unet_deduped_subject/masks/azh_01289b5d0d3f47b0de56c003ec81614a_0.png,azh_patches,data/datasets/external/azh_patches/train/images/01289b5d0d3f47b0de56c003ec81614a_0.png,data/datasets/external/azh_patches/train/labels/01289b5d0d3f47b0de56c003ec81614a_0.png,PUBLIC_REAL_PHOTOS,AZH/UWM redistribution,27c74f6b6f1400134282c3aa8f1ea5d98b7f4d3d21ab853ed8891899abc359f2
azh_01289b5d0d3f47b0de56c003ec81614a_1,train,positive,wound_unspecified,False,0.040737,azh:01289b5d0d3f47b0de56c003ec81614a,data/datasets/unet_deduped_subject/images/azh_01289b5d0d3f47b0de56c003ec81614a_1.png,data/datasets/unet_deduped_subject/masks/azh_01289b5d0d3f47b0de56c003ec81614a_1.png,azh_patches,data/datasets/external/azh_patches/train/images/01289b5d0d3f47b0de56c003ec81614a_1.png,data/datasets/external/azh_patches/train/labels/01289b5d0d3f47b0de56c003ec81614a_1.png,PUBLIC_REAL_PHOTOS,AZH/UWM redistribution,6ac58b55e0e1644e6002063754280323246385effdbee35ccbd77492f92a8ba2
azh_0301eae58a63514483f1f05436437ac2_0,train,positive,wound_unspecified,False,0.083307,azh:0301eae58a63514483f1f05436437ac2,data/datasets/unet_deduped_subject/images/azh_0301eae58a63514483f1f05436437ac2_0.png,data/datasets/unet_deduped_subject/masks/azh_0301eae58a63514483f1f05436437ac2_0.png,azh_patches,data/datasets/external/azh_patches/train/images/0301eae58a63514483f1f05436437ac2_0.png,data/datasets/external/azh_patches/train/labels/0301eae58a63514483f1f05436437ac2_0.png,PUBLIC_REAL_PHOTOS,AZH/UWM redistribution,0c6c646814e8b51f5681bbeb69ae56df6377f70ab21a99b199d11f962b49f78c
azh_035b9aff921b413432a9b2b6d68e4c50_1,train,positive,wound_unspecified,False,0.07386,azh:035b9aff921b413432a9b2b6d68e4c50,data/datasets/unet_deduped_subject/images/azh_035b9aff921b413432a9b2b6d68e4c50_1.png,data/datasets/unet_deduped_subject/masks/azh_035b9aff921b413432a9b2b6d68e4c50_1.png,azh_patches,data/datasets/external/azh_patches/train/images/035b9aff921b413432a9b2b6d68e4c50_1.png,data/datasets/external/azh_patches/train/labels/035b9aff921b413432a9b2b6d68e4c50_1.png,PUBLIC_REAL_PHOTOS,AZH/UWM redistribution,5d4252502a3ce82d39ea5d34b613532c36fbbe975c79307c243ba041837ff7ee
azh_05a18470225822d3409639821fb92174_0,train,positive,wound_unspecified,False,0.130521,azh:05a18470225822d3409639821fb92174,data/datasets/unet_deduped_subject/images/azh_05a18470225822d3409639821fb92174_0.png,data/datasets/unet_deduped_subject/masks/azh_05a18470225822d3409639821fb92174_0.png,azh_patches,data/datasets/external/azh_patches/train/images/05a18470225822d3409639821fb92174_0.png,data/datasets/external/azh_patches/train/labels/05a18470225822d3409639821fb92174_0.png,PUBLIC_REAL_PHOTOS,AZH/UWM redistribution,6106e4e82aacbac6861762eeae742c007d3433bffe6534b5f399afc6fe039dc2
azh_05bf122b0e8bf667fc2aeedd8b70d9f3_0,val,positive,wound_unspecified,False,0.067542,azh:05bf122b0e8bf667fc2aeedd8b70d9f3,data/datasets/unet_deduped_subject/images/azh_05bf122b0e8bf667fc2aeedd8b70d9f3_0.png,data/datasets/unet_deduped_subject/masks/azh_05bf122b0e8bf667fc2aeedd8b70d9f3_0.png,azh_patches,data/datasets/external/azh_patches/train/images/05bf122b0e8bf667fc2aeedd8b70d9f3_0.png,data/datasets/external/azh_patches/train/labels/05bf122b0e8bf667fc2aeedd8b70d9f3_0.png,PUBLIC_REAL_PHOTOS,AZH/UWM redistribution,e5bb5debab9ff8fc328b486f20754c47197a827c2525348a54aa10737c71d52d
