dataset,sample_id,split,subject_id,source_id,path,file_sha256,pixel_sha256
yolo_retrain_v2,raw_synthetic_wound__syn_wound_0185,test,,data/datasets/raw/synthetic_wound/test/images/syn_wound_0185.jpg,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0185.jpg,35519b00aef367de4108d0043257773c9ab2148a431095212af2d016b90df592,56816a578b5b7aa81c2108b5ef9e8f0154b503d451508938ca4296cae5c984b2
yolo_retrain_v2,raw_synthetic_wound__syn_wound_0186,test,,data/datasets/raw/synthetic_wound/test/images/syn_wound_0186.jpg,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0186.jpg,206242b57af4eccb1b4073bbc7c447bb7b6253b16332846272d8a0b367798aaf,7bd05bd92b668e46a9e21318352a2a45d44baefa91ede7568b3c410fcf12fb60
yolo_retrain_v2,raw_synthetic_wound__syn_wound_0187,test,,data/datasets/raw/synthetic_wound/test/images/syn_wound_0187.jpg,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0187.jpg,ab2190f3456529be1fad567e711730e9f7799248ddae981ae67bf65455790a32,682b0313e70d4a73bf16f8cf142d7180024459752599ceb9cb0be351748e5271
yolo_retrain_v2,raw_synthetic_wound__syn_wound_0189,test,,data/datasets/raw/synthetic_wound/test/images/syn_wound_0189.jpg,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0189.jpg,b67c79167904e63a0c4c6c6e06470d70cc79dcead060426a9153dbc052e84e41,b81daf409d7d41555b11c4d4ac30f1eb9f90d62a2328d802f179d78c3387fc7b
yolo_retrain_v2,raw_synthetic_wound__syn_wound_0195,test,,data/datasets/raw/synthetic_wound/test/images/syn_wound_0195.jpg,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0195.jpg,5fcbce35b25eed0db7a58f0f0a77a59da3e262ba47fe84d472816bd98b8e8ea1,8ee1cf5acbb4f1d777ce98acaa2e834c5fadcf1a01ce00e3a4b45eb0ba6e029b
yolo_retrain_v2,raw_synthetic_wound__syn_wound_0199,test,,data/datasets/raw/synthetic_wound/test/images/syn_wound_0199.jpg,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0199.jpg,d24c451943b186c493ba729c20046029db5ce5323773a004c6afa209ac98f150,8c3e1eb43e6cd454a355e743989c6626bfaebbbda253a67028e1e36602bfcb05
yolo_retrain_v2,raw_synthetic_wound__syn_wound_0200,test,,data/datasets/raw/synthetic_wound/test/images/syn_wound_0200.jpg,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0200.jpg,0850cf3d1cc843181068770727e111ef32c07f6acc635af94c564c97117ba0fe,bfe6c75fadd7ef755de824680e3b46c6a18e2c5d311f676d34a036a312ac3c5b
yolo_retrain_v2,raw_synthetic_wound__syn_wound_0202,test,,data/datasets/raw/synthetic_wound/test/images/syn_wound_0202.jpg,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0202.jpg,8f96170f317aeffe4870f953da45b8b00e6cbfef49aebe7087a28d75ab146c7b,34da665fd217b79e58e4bb1bf531a31aa4c3691dbf8144a223bfb4fede080fa6
yolo_retrain_v2,raw_synthetic_wound__syn_wound_0206,test,,data/datasets/raw/synthetic_wound/test/images/syn_wound_0206.jpg,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0206.jpg,4db387c5f2d3cf1778f1028471d80cec4b18ea31770c76e778b3ed7b1c5d770d,4ecdeb3db24858402a6543346e5c153cb9e1e6d3faca8ee74834c27f60f15cea
yolo_retrain_v2,raw_synthetic_wound__syn_wound_0207,test,,data/datasets/raw/synthetic_wound/test/images/syn_wound_0207.jpg,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0207.jpg,01a5f30ffc41cc6d4133b5d6461528fdae68e8e0d3356ed3e9965130ec7b375c,32a81bbc75b64fa29c2dc95933fe4bb0c03502046bda7f26f820402a118c7eb3
yolo_retrain_v2,raw_synthetic_wound__syn_wound_0208,test,,data/datasets/raw/synthetic_wound/test/images/syn_wound_0208.jpg,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0208.jpg,e7da66b4e54bd1c7d4bdfa867288df0eb9f2b572e58070dd387c016aaac4c8a4,6b6200ba66df766da1f6e4373f42d858389199b95a971b8230b2a94042170528
yolo_retrain_v2,raw_synthetic_wound__syn_wound_0211,test,,data/datasets/raw/synthetic_wound/test/images/syn_wound_0211.jpg,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0211.jpg,488c741efb5b581313d5483c908469a728229d935b6ecc6027979f09181c948f,ca2b0bc7911951a81831d7dcfef70cbd173b4df7cd980778eb6c9c7c158d60f0
yolo_retrain_v2,raw_synthetic_wound__syn_wound_0213,test,,data/datasets/raw/synthetic_wound/test/images/syn_wound_0213.jpg,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0213.jpg,800b251c417f84c348fd6511f501a4980e5bddccdd984d8c18101446df1e00ec,6635b23e0c4c245e612cd410af60de9505d3db023e3be1d88885c677bbfe07b6
yolo_retrain_v2,raw_synthetic_wound__syn_wound_0216,test,,data/datasets/raw/synthetic_wound/test/images/syn_wound_0216.jpg,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0216.jpg,6bef9bf6656b83da50efeff429dbedd6745a1440de6a38588095f8817030d8cc,74577d7af8187d0a4877ed16f766ee03122e356f73b07e235a659e1ddf50caa0
