subject_id,split,source,activity,canonical_label,peak_g_force,peak_accel_ms2,peak_jerk_gs,accel_variance,gyro_variance,sma,stabilization_seconds,impact_flag
uci_subj_01,train,UCI_HAR,STANDING,normal_activity,0.0057710407022672616,0.056594576302889235,0.04135336698203825,1.2481215813195932e-06,0.00043452094595085165,0.023389878878921876,2.56,0.0
uci_subj_01,train,UCI_HAR,STANDING,normal_activity,0.002800179848440939,0.027460383710713333,0.03806090476129563,4.1005098487195485e-07,0.00011067769262120157,0.015118283334703124,2.52,0.0
uci_subj_01,train,UCI_HAR,STANDING,normal_activity,0.002086516544503264,0.020461737471152933,0.03806090476129563,1.736434438799397e-07,8.646998138764478e-05,0.014338042821796876,0.88,0.0
uci_subj_01,train,UCI_HAR,STANDING,normal_activity,0.002086516544503264,0.020461737471152933,0.03745151811170816,1.9943912994810437e-07,7.409611714927523e-05,0.013019461182265626,2.16,0.0
uci_subj_01,train,UCI_HAR,STANDING,normal_activity,0.0016771169153335021,0.016446898597755288,0.03745151811170816,1.2662035775793655e-07,5.925851063582301e-05,0.009712383033125,1.96,0.0
uci_subj_01,train,UCI_HAR,STANDING,normal_activity,0.0012385547286966321,0.012146072730172826,0.037136866670414874,7.926957793198143e-08,8.266803036702102e-05,0.009069812574765624,1.22,0.0
uci_subj_01,train,UCI_HAR,STANDING,normal_activity,0.002847909131777217,0.027928448087143044,0.044263717058100054,2.6553220656154354e-07,0.00010114757296830896,0.012644664526953125,0.22,0.0
uci_subj_01,train,UCI_HAR,STANDING,normal_activity,0.002847909131777217,0.027928448087143044,0.044263717058100054,4.1149675398354075e-07,7.886413920671302e-05,0.0176786584796875,1.5,0.0
uci_subj_01,train,UCI_HAR,STANDING,normal_activity,0.0028242388512030253,0.027696321930150147,0.06070023231386386,3.759151794710769e-07,4.506881475703041e-05,0.014430153338429688,2.56,0.0
uci_subj_01,train,UCI_HAR,STANDING,normal_activity,0.0019719445523486167,0.01933817004428956,0.06070023231386386,1.947731619237793e-07,0.00015316901163033538,0.012793877749367188,0.18,0.0
uci_subj_01,train,UCI_HAR,STANDING,normal_activity,0.0019719445523486167,0.01933817004428956,0.051304141358185784,2.082106881760387e-07,0.00015337997871242234,0.012117394012148437,1.46,0.0
uci_subj_01,train,UCI_HAR,STANDING,normal_activity,0.001268866881325635,0.012443333401752039,0.029150983168051342,7.038727192130885e-08,1.7674915036862505e-05,0.008718979317148438,0.34,0.0
uci_subj_01,train,UCI_HAR,STANDING,normal_activity,0.001268866881325635,0.012443333401752039,0.03570685033390663,6.600063752705534e-08,1.0702418790516892e-05,0.008470700205,1.62,0.0
uci_subj_01,train,UCI_HAR,STANDING,normal_activity,0.0010899742082218242,0.010688995569058552,0.03570685033390663,4.9631046142234644e-08,7.428825444500341e-06,0.0077406986821875,1.26,0.0
uci_subj_01,train,UCI_HAR,STANDING,normal_activity,0.009693909816920277,0.09506478070610122,0.054925856167517245,1.0150393641620733e-05,0.0041386574299014725,0.054504050652187504,2.12,0.0
uci_subj_01,train,UCI_HAR,STANDING,normal_activity,0.002248920846794167,0.02205437962221402,0.0380658763073808,1.8106229765080366e-07,0.0018296889712687812,0.013872127501390625,1.84,0.0
